"Action","Действие"
"An error occurred while writing to the backup file ""%s"".","Ошибка при записи в файл резервной копии ""%s""."
"Backup file ""%s"" cannot be read from or written to.","Невозможно считать или записать файл резервной копии ""%s""."
"Backup file ""%s"" does not exist.","Файл резервной копии ""%s"" не существует."
"Backup file does not exist.","Файл резервной копии не существует."
"Backup file handler was unspecified.","Не указан обработчик файла резервной копии."
"Backup file path was not specified.","Не указан путь к файлу резервной копии."
"Backups","Резервные копии"
"Cannot read backup file.","Невозможно считать файл резервной копии."
"Create Backup","Создать резервную копию"
"DB","БД"
"Database was successfuly backed up.","Резервная копия базы данных успешно создана."
"Download","Скачать"
"Size, Bytes","Размер (в байтах)"
"The file was compressed with Zlib, but this extension is not installed on server.","Файл сжат при помощи Zlib, но это расширение не установлено на сервере."
"Time","Время"
"Type","Тип"
"Unable to create backup. Please, try again later.","Невозможно создать резервную копию. Пожалуйста, повторите попытку позже."
"Wrong order of creation for new backup.","Неправильный порядок создания для новой резервной копии."
